2022-05-09 11:23:40,052 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22068, 0, 0, 22174, 3004, 512, 512] /IMU: MAG [-381, 374, 2981] ACCEL [389, 283, -3954] GYRO [415, -43, -84] /
2022-05-09 11:23:40,184 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22069, 0, 0, 22174, 3004, 513, 515] /IMU: MAG [-388, 512, 2894] ACCEL [222, 34, -4072] GYRO [-92, -56, -132] /
2022-05-09 11:23:40,316 - INFO - Temperature l,r are 32 34 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22070, 0, 0, 22174, 3004, 514, 514] /IMU: MAG [-360, 481, 2891] ACCEL [279, 263, -4331] GYRO [-364, -16, -43] /
2022-05-09 11:23:40,489 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22071, 0, 0, 22174, 3004, 513, 514] /IMU: MAG [-343, 294, 3021] ACCEL [237, 513, -4005] GYRO [147, 1, 59] /
2022-05-09 11:23:40,614 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22072, 0, 0, 22174, 3004, 512, 511] /IMU: MAG [-339, 296, 2990] ACCEL [288, 414, -4316] GYRO [352, 251, 23] /
2022-05-09 11:23:40,745 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22073, 0, 0, 22174, 3004, 512, 513] /IMU: MAG [-366, 493, 2920] ACCEL [321, 185, -4021] GYRO [-63, -81, -109] /
2022-05-09 11:23:40,875 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22074, 0, 0, 22174, 3004, 512, 513] /IMU: MAG [-353, 444, 2969] ACCEL [294, 226, -3874] GYRO [-424, -54, -173] /
2022-05-09 11:23:41,005 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22075, 0, 0, 22174, 3004, 510, 514] /IMU: MAG [-367, 290, 3039] ACCEL [360, 506, -4111] GYRO [-74, 30, -55] /
2022-05-09 11:23:41,135 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22076, 0, 0, 22174, 3004, 515, 511] /IMU: MAG [-353, 281, 3040] ACCEL [244, 414, -4058] GYRO [514, 76, 83] /
2022-05-09 11:23:41,263 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22077, 0, 0, 22174, 3004, 509, 514] /IMU: MAG [-354, 467, 2878] ACCEL [283, 157, -4352] GYRO [246, 71, 25] /
2022-05-09 11:23:41,390 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS [4825.8742, 'N', 436.9635, 'W', 92341.0] /Encoders [22078, 0, 0, 22174, 3004, 512, 512] /IMU: MAG [-380, 522, 2888] ACCEL [322, 204, -4207] GYRO [-426, -78, -88] /
2022-05-09 11:23:41,426 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22079, 0, 0, 22174, 3004, 513, 513] /IMU: MAG [-380, 522, 2888] ACCEL [347, 245, -4061] GYRO [-483, -105, -134] /DESIREDPOSITION [[25.0], [10.0]] /CONTROL: ACCD 2.7563688156 WD -0.248499981585 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.00900467190089 CMDR 0.00527717217711 THETA 0.32580323644 /KAL: STATE [[-4.303832580346132], [3.891827931582019], [1.0], [0.0], [0.0]] COVARIANCE [[10, 0, 0, 0, 0], [0, 10, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 10, 0], [0, 0, 0, 0, 10]] INPUT [[0], [0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:41,531 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22080, 0, 0, 22174, 3004, 512, 513] /IMU: MAG [-354, 414, 2922] ACCEL [345, 495, -3829] GYRO [-261, -166, -110] /DESIREDPOSITION [[24.999750002083328], [10.049999166670835]] /CONTROL: ACCD 2.74611065718 WD -0.252557196273 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0180141275159 CMDR 0.010498269848 THETA 0.328736551694 /KAL: STATE [[-4.209093186317804], [3.9238349186183714], [1.0], [0.0], [0.0]] COVARIANCE [[10.608975552780855, 0.00303232255649658, 0.09473939402832787, 1.0, 0.0], [0.00303232255649658, 10.601024447219144, 0.032006987036352484, 0.0, 1.0], [0.09473939402832787, 0.032006987036352484, 1.1, 0.0, 0.0], [1.0, 0.0, 0.0, 10.0001, 0.0], [0.0, 1.0, 0.0, 0.0, 10.0001]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:41,627 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22081, 0, 0, 22174, 3004, 510, 512] /IMU: MAG [-327, 296, 2967] ACCEL [322, 550, -4028] GYRO [198, -167, -70] /DESIREDPOSITION [[24.99900003333289], [10.099993333466667]] /CONTROL: ACCD 2.73560137075 WD -0.258937036857 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0270451587192 CMDR 0.0156452454985 THETA 0.332472412032 /KAL: STATE [[-4.11444808632277], [3.956119668066524], [1.0], [0.0], [0.0]] COVARIANCE [[11.436763256071792, 0.012481417317984859, 0.19884900402286537, 2.00001, 0.0], [0.012481417317984859, 11.404238657884886, 0.06752021142932058, 0.0, 2.00001], [0.19884900402286537, 0.06752021142932058, 1.2000000000000002, 0.0, 0.0], [2.00001, 0.0, 0.0, 10.0002, 0.0], [0.0, 2.00001, 0.0, 0.0, 10.0002]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:41,731 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22082, 0, 0, 22174, 3004, 510, 512] /IMU: MAG [-263, 264, 3035] ACCEL [87, 495, -3687] GYRO [381, -31, -29] /DESIREDPOSITION [[24.99775016874494], [10.14997750101248]] /CONTROL: ACCD 2.73280520113 WD -0.157736870567 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0353101982513 CMDR 0.021544231972 THETA 0.299496523017 /KAL: STATE [[-4.01992425782577], [3.98875777227418], [1.0], [0.0], [0.0]] COVARIANCE [[12.485080899362384, 0.029055834995607897, 0.31227759821926504, 3.0000299999999998, 0.0], [0.029055834995607897, 12.409928416293916, 0.10668593647850731, 0.0, 3.0000299999999998], [0.31227759821926504, 0.10668593647850731, 1.3000000000000003, 0.0, 0.0], [3.0000299999999998, 0.0, 0.0, 10.0003, 0.0], [0.0, 3.0000299999999998, 0.0, 0.0, 10.0003]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:41,830 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22083, 0, 0, 22174, 3004, 510, 512] /IMU: MAG [-252, 393, 2914] ACCEL [174, 81, -3761] GYRO [171, 175, -23] /DESIREDPOSITION [[24.99600053330489], [10.199946670933171]] /CONTROL: ACCD 2.72503521069 WD -0.107903550456 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0431820629064 CMDR 0.0277975433703 THETA 0.284028976456 /KAL: STATE [[-3.9243757422599868], [4.018261690203419], [1.0], [0.0], [0.0]] COVARIANCE [[13.756633595745852, 0.052127702716843256, 0.4364906684547834, 4.0000599999999995, 0.0], [0.052127702716843256, 13.617364348047175, 0.1450410297865178, 0.0, 4.0000599999999995], [0.4364906684547834, 0.1450410297865178, 1.4000000000000004, 0.0, 0.0], [4.0000599999999995, 0.0, 0.0, 10.000399999999999, 0.0], [0.0, 4.0000599999999995, 0.0, 0.0, 10.000399999999999]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:41,932 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22084, 0, 0, 22174, 3004, 511, 514] /IMU: MAG [-262, 494, 2910] ACCEL [317, 191, -3975] GYRO [-200, 261, -46] /DESIREDPOSITION [[24.993751301974832], [10.249895846353393]] /CONTROL: ACCD 2.71593455929 WD -0.0772844229306 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0508015324766 CMDR 0.0342577465966 THETA 0.275107737003 /KAL: STATE [[-3.8283823211906682], [4.0462842366867156], [1.0], [0.0], [0.0]] COVARIANCE [[15.253350692449496, 0.08204823955337565, 0.5708814579518291, 5.0001, 0.0], [0.08204823955337565, 15.026608554401502, 0.184272594863134, 0.0, 5.0001], [0.5708814579518291, 0.184272594863134, 1.5000000000000004, 0.0, 0.0], [5.0001, 0.0, 0.0, 10.000499999999999, 0.0], [0.0, 5.0001, 0.0, 0.0, 10.000499999999999]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:42,031 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22085, 0, 0, 22174, 3004, 514, 517] /IMU: MAG [-364, 500, 2939] ACCEL [440, 346, -4424] GYRO [-363, 155, -86] /DESIREDPOSITION [[24.991002699676024], [10.299820032397223]] /CONTROL: ACCD 2.70007071614 WD -0.198407811628 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0592897678542 CMDR 0.0397698647997 THETA 0.318412328695 /KAL: STATE [[-3.732142727551701], [4.073449299105317], [1.0], [0.0], [0.0]] COVARIANCE [[16.977151580583797, 0.11921212149320021, 0.7152408484102797, 6.00015, 0.0], [0.11921212149320021, 16.6377520184088, 0.22502018849103583, 0.0, 6.00015], [0.7152408484102797, 0.22502018849103583, 1.6000000000000005, 0.0, 0.0], [6.00015, 0.0, 0.0, 10.000599999999999, 0.0], [0.0, 6.00015, 0.0, 0.0, 10.000599999999999]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:42,130 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22086, 0, 0, 22174, 3004, 511, 511] /IMU: MAG [-451, 353, 2947] ACCEL [507, 557, -4561] GYRO [-134, -122, -75] /DESIREDPOSITION [[24.9877550012664], [10.349714236687666]] /CONTROL: ACCD 2.67190983061 WD -0.378321308697 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0690569522459 CMDR 0.043862229561 THETA 0.382436254602 /KAL: STATE [[-3.637169362571131], [4.104755208200364], [1.0], [0.0], [0.0]] COVARIANCE [[18.92747714496313, 0.1677314750130055, 0.8671982323791919, 7.000209999999999, 0.0], [0.1677314750130055, 18.45344503745053, 0.275109643043113, 0.0, 7.000209999999999], [0.8671982323791919, 0.275109643043113, 1.7000000000000006, 0.0, 0.0], [7.000209999999999, 0.0, 0.0, 10.000699999999998, 0.0], [0.0, 7.000209999999999, 0.0, 0.0, 10.000699999999998]] INPUT [[0.0], [-0.0]] OUTPUT [[0], [0]] /
2022-05-09 11:23:42,230 - INFO - Temperature l,r are 32 34 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS [4825.8742, 'N', 436.9635, 'W', 92342.0] /Encoders [22087, 0, 0, 22174, 3004, 511, 512] /IMU: MAG [-442, 244, 3035] ACCEL [394, 486, -4374] GYRO [277, -372, -43] /DESIREDPOSITION [[24.984008531513098], [10.399573469845864]] /CONTROL: ACCD 2.74535014745 WD -0.429711238595 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0793830219759 CMDR 0.0477426307121 THETA 0.393816507954 /KAL: STATE [[-4.300263679451089], [3.8930039556071265], [0.9594402875051399], [-0.28552206452590095], [-0.09408521487589314]] COVARIANCE [[0.0995283122124202, 5.306914055930615e-06, 0.004816442350070225, 0.03773634373205242, -0.00042456798383483623], [5.306914055886814e-06, 0.09951394650509222, 0.0015911453291053777, -0.000424567983834864, 0.03888564054248531], [0.004816442350070282, 0.00159114532910537, 1.7452486259484201, -0.38532887404420474, -0.12729608153535066], [0.03773634373205326, -0.0004245679838348476, -0.38532887404420474, 6.981786839673305, 0.0339666274971418], [-0.0004245679838348476, 0.03888564054248622, -0.12729608153535063, 0.03396662749714179, 6.8898398768076845]] INPUT [[0.0], [-0.0]] OUTPUT [[-4.303832580346132], [3.891827931582019]] /
2022-05-09 11:23:42,328 - INFO - Temperature l,r are 32 34 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22088, 0, 0, 22174, 3004, 515, 513] /IMU: MAG [-342, 290, 2990] ACCEL [142, 234, -3731] GYRO [380, -327, 23] /DESIREDPOSITION [[24.979763665059973], [10.449392745990057]] /CONTROL: ACCD 2.75707903288 WD -0.257596268023 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0884475516401 CMDR 0.052943216356 THETA 0.339146754535 /KAL: STATE [[-4.240216244441069], [3.920410650886201], [0.9594402875051399], [-0.28552206452590095], [-0.09408521487589314]] COVARIANCE [[0.6855491736356383, 0.0041218844668980984, 0.12744877234987945, 0.7003317813732537, -0.008783078881200593], [0.004121884466898055, 0.6779043358186413, 0.05582944264375604, -0.011813573721400954, 0.7229850794959358], [0.1274487723498795, 0.05582944264375603, 1.8452486259484202, -0.38532887404420474, -0.12729608153535066], [0.7003317813732545, -0.011813573721400938, -0.38532887404420474, 6.9818868396733045, 0.0339666274971418], [-0.008783078881200604, 0.7229850794959367, -0.12729608153535063, 0.03396662749714179, 6.889939876807684]] INPUT [[0.0], [-0.0]] OUTPUT [[-4.303832580346132], [3.891827931582019]] /
2022-05-09 11:23:42,499 - INFO - Temperature l,r are 32 33 deg.C /cmd motors l,r are b'dirl: 1, motl: 0, dirr: 1, motr: 0\r' /GPS timeout /Encoders [22089, 0, 0, 22174, 3004, 515, 513] /IMU: MAG [-169, 464, 2963] ACCEL [123, 237, -3527] GYRO [-245, 231, -61] /DESIREDPOSITION [[24.97502082639013], [10.499167083234141]] /CONTROL: ACCD 2.75954463906 WD 0.0819499821086 WMLEFT 0.0 WMRIGHT 0.0 CMDL 0.0949716484439 CMDR 0.0606965628913 THETA 0.230251227428 /KAL: STATE [[-4.178289502565414], [3.942921035430838], [0.9594402875051399], [-0.28552206452590095], [-0.09408521487589314]] COVARIANCE [[1.4286148330813653, 0.015213590289266447, 0.2629300026078457, 1.3621824547962438, -0.017390931403171255], [0.015213590289266407, 1.3963107418185285, 0.10448803995207141, -0.02123613097140422, 1.4077441484248943], [0.26293000260784577, 0.10448803995207141, 1.9452486259484203, -0.38532887404420474, -0.12729608153535066], [1.3621824547962444, -0.021236130971404206, -0.38532887404420474, 6.981986839673304, 0.0339666274971418], [-0.017390931403171266, 1.4077441484248951, -0.12729608153535063, 0.03396662749714179, 6.890039876807684]] INPUT [[0.0], [-0.0]] OUTPUT [[-4.303832580346132], [3.891827931582019]] /
